Row number,CIID,Chemical Name,Recipe,CAS Number ,Supplier,Product # (link to item),lot #,container #,amount,"amount, kg",unit, location,"est amount remaining 
(June 30, 2023)",pdfs of SDS (as of Jan 2025) (SDS must be updated every 3 years) ,UN Number,Class,Packing Group,GHS Flammable liquid category,Supplier SDS link (SDS should update as suppliers update),est amount remaining (Jun 2024),Expiry Date,date consumed,COA or other notes,,State (based on CoA SDS info (section 3 or 9) if available)),colour (based on CoA or SDS info (section 9) if available)),MolecularWeight,density,,TOXIC ORAL,TOXIC DERMAL,TOXIC INHALATION,SKIN CORROSION / IRRITATION,SERIOUS EYE DAMAGE/EYE IRRITATION,RESPIRATORY SENSITIZATION,SKIN SENSITIZATION,GERM CELL MUTAGENICITY,CARCINOGENICITY,REPRODUCTIVE TOXICITY,SPECIFIC TARGET ORGAN TOXICITY SINGLE EXPOSURE,SPECIFIC TARGET ORGAN TOXICITY REPEATED EXPOSURE,ASPIRATION HAZARD,Health hazard not otherwise classified,FLAMMABLE LIQUIDS,FLAMMABLE SOLIDS,Self-reactive substances and mixtures,CORROSIVE TO METALS,SELF-HEATING SUBSTANCES AND MIXTURE,OXIDIZING  LIQUIDS,OXIDIZING SOLIDS,COMBUSTIBLE DUSTS,Fire or projection hazard,Physical Hazards Not Otherwise Classified,Short-term (acute) aquatic hazard ,Long-term (chronic) aquatic hazard 
926,20,sulfolane,anhydrous,126-33-0,The Sulfolane Company Inc,"Sulfolane, Anhydrous",TC P19-2402001,1,500 mL,0.63,kg,FC2 ,"recieved after June 30, 2024","Sulfolane, Anyhydrous_TSC_SDS_revised Jan 2021_received Oct 2024",Not dangerous goods,n/a,n/a,,,,,,TSC_Sulfolane Anhydrous_CoA_Oct 2024,,liquid ,colourless,120.18,1.26,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
920,25,sulfolane,anhydrous,126-33-0,Chevron Phillips Chemical,1024636,19HPANE02,1,1 quart (1.181 kg),1.181,kg,FC1,"recieved after June 30, 2024",Sulfolane - A Anhydrous_Chevron Phillips_SDS_revised Feb 2024,Not dangerous goods,n/a,n/a,,Chevron Phillips_1024636_Sulfolane A Anhydrous,,,,Chevron Phillips_Sulfolane A Anhydrous_CoA_Oct 2024,,liquid ,colourless,120.18,1.26,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
921,26,sulfolane,"anhydrous, low colour",126-33-0,Chevron Phillips Chemical,1024655,17HPALC01,1,1 quart (1.181 kg),1.181,kg,FC1,"recieved after June 30, 2024",Sulfolane - A Low Color_Chevron Phillips_SDS_revised Feb 2024,Not dangerous goods,n/a,n/a,,Chevron Phillips_1024655_Sulfolane A (low color),,,,Chevron Phillips_Sulfolane A Low Color_CoA_Oct 2024,,liquid ,colourless,120.18,1.26,,,,,,2A,,,,,,,,,,4,,,,,,,,,,3,3
347,41,ethanol,"anhydrous, methanol, 2-propanol","64-17-5 (also contains 67-56-1
, 67-63-0)",Sigma Aldrich,277649,SHBR1871,5, 2L,1.57,kg,FC4 until glovebox,"recieved after June 30, 2024","ethanol (reagent alcohol), anhydrous_Sigma_SDS_revised July 2024",UN1170,3,II,2,"Sigma_277649_Reagent Alcohol (Ethanol), anhydrous",,,,,,liquid,colourless,46.07,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,42,niobium (V) ethoxide,,3236-82-6,TANiOBIS,1098939,OL124-123M,,100 g,0.1,kg,FC1,100%,niobium (V) ethoxide _TANiOBIS_SDS_revised Oct 2020,UN 2920,8 (3),III,,,,,,,,liquid,yellow-red,,1.27,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
23,47,1-pentanol,"99%, ACS reagent",71-41-0,Millipore Sigma,398268,MKCW4703,1,500 mL,0.4055,kg,FC2,"recieved after June 30, 2024",1-pentanol_Sigma_SDS_revised March 2023,UN1105,3,III,3,Sigma_398268_1-pentanol,,,,,,liquid,colourless,88.15,0.811,,3,,,2,2,,,,,,,,,,,,,,,,,,,,,
24,50,1-pentanol,"99%, ACS reagent",71-41-0,Millipore Sigma,398268,MKCW4703,2,500 mL,0.4055,kg,FC2,"recieved after June 30, 2024",1-pentanol_Sigma_SDS_revised March 2023,UN1105,3,III,3,Sigma_398268_1-pentanol,,,,"1-pentanol -ACS reagent, +99%_Sigma_398268_Lot MKCW4703_CoA_April 4 2025",,liquid,colourless,88.15,0.811,,4,,,2,2,,,,,,,,,,,,,,,,,,,,,
648,62,nickel (II) acetate,anhydrous,373-02-4,Chem-Impex International Inc.,30617,002154-43230047,1,250 g,0.25,kg,,"recieved after June 30, 2024",Nickel (II) acetate anhydrous_Chem-Impex International_SDS_revised July 2020_received April 2025,UN3077,9,III,n/a,Chem-Impex_30617_Nickel (II) acetate anhydrous,,,,,,solid (crystalline powder),dark green,176.78,1.798,,4,,4,2,2A,,,,,,2,,,,3,,,,,,,,,,,
9,67,1-dimethylamino-2-propanol,99%,108-16-7,Millipore Sigma,471526,MKCK9089,1,250mL,0.20925,kg,glovebox,"recieved after June 30, 2024",1-Dimethylamino-2-propanol_Sigma_SDS_Revised Aug 2023,UN2734,8 (3),II,3,Sigma_471526_1-Dimethylamino-2-propanol,,,,"1-dimethylamino-2-propanol_Sigma_471526_ lot MKCK9089_CoA_April 11, 2025",,liquid,colourless,103.16,0.837,,,,4,2,1,,,,,,3,,,,3,,,,,,,,,,,
312,69,ethoxyacetic acid,98.0%,627-03-2,TCI America,E0377,E6S3O-NF,2,100 g,0.1,kg,FC1 then glovebox,"recieved after June 30, 2024",ethoxyacetic acid_TCI_SDS_revised Dec 2024,UN3265,8,III,,"TCI_E0377_ethoxyacetic acid, 98.0%",,,,ethoxyacetic acid_TCI_E0377_Lot E6S3O-NF_CoA_May 2025,,liquid,colourles - yellow,104.11,1.10,,,,4,2,1,,,,,,3,,,,3,,,,,,,,,,,
583,76,methoxyacetic acid,98%,625-45-6,Millipore Sigma,194557,STBK6197,2,250 g,0.25,kg,glovebox,"recieved after June 30, 2024","methoxyacetic acid, 98%_Sigma_SDS_Revised July 2021 (checked Feb 2025)",UN3265,8,II,,Sigma_194557_Methoxyacetic acid,,,,,,liquid (viscous),colourless,90.08,1.174,,,,,,1,,,,,,3,,,,2,,,,,,,,,,,
43,78,2-(dimethylamino)ethanol,99%,108-01-0,ThermoFisher,B23616-AK,10251204,1,250 mL,0.2215,kg,glovebox,"recieved after June 30, 2024","2-(Dimethylamino)ethanol, 99+%_ThermoFisher_SDS_revised March 2024",UN2051,8 (3),II,3,"ThermoFisher_B23616-AK_2-(Dimethylamino)ethanol, 99+%",,,,,,liquid,colourless,89.14,0.886,,,,,,1,,,,,,3,,,,2,,,,,,,,,,,
259,80,di(propylene glycol) methyl ether acetate,"98%, mixture of isomers",88917-22-0,Millipore Sigma,484202,MKCX5699,1,1 L,0.97,kg,FC2/glovebox,"Recieved after June 30, 2024","di(propylene glycol) methyl ether acetate, >=98%, mix of isomers_Sigma_SDS_revised March 2024",Not dangerous goods,n/a,n/a,,"Sigma_484202_di(propylene glycol)methyl ether acetate, >=98%, mix of isomers",,,,"di(propylene glycol)methyl ether acetate, >=98%, mix of isomers_Sigma_484202_Lot MKCX5699_CoA_April 21, 2025",,liquid,colourless to light yellow,190.24,0.97,,,,1,,,,,,,,,,,,,,,,,,,,,,,
257,83,di(propylene glycol) butyl ether,,29911-28-2,Millipore Sigma,484237,STBL4410,1,1 L,0.913,kg,FC2/glovebox,"Recieved after June 30, 2024","Di(propylene glycol) butyl ether, mixture of isomers_Sigma_SDS_revised March 2024",Not dangerous goods,n/a,n/a,,"Sigma_484237_Di(propylene glycol) butyl ether, mixture of isomers ",,,,"Di(propylene glycol) butyl ether, mixture of isomers_Sigma_484237_Lot STBL4410_CoA_April 10, 2025",,liquid,colourless,190.28,0.913,,,,4,2,2,,,,,1B,,,,,2,,,,,,,,,1 - May form explosive peroxides,,
814,86,1-propoxy-2-propanol,98.5%,1569-01-3,Sigma Aldrich,484326,MKCR0589,1, 1 L,0.885,kg,FC2/glovebox,"received after June 30, 2024",Propylene glycol propyl ether >98.5% (DOWANOL PNP)_Sigma_SDS_revised Jan 2025,UN3271,3,III,3,Sigma_484326_propylene glycol propyl ether >98.5% (DOWANOL PNP),,,,"Proplyene glycol propyl ether +98.5%_Sigma_484326_lot MKCR0589_CoA_April 10, 2025",,liquid ,colourless,118.17,0.885,,,,4,2,,,,,,1B,,,,,2,,,,,,,,,,,
258,89,di(propylene glycol) dimethyl ether,mixture of isomers,111109-77-4,Millipore Sigma,520462,STBK6297,1,1 L,0.902,kg,FC2/glovebox,"Recieved after June 30, 2024","di(propylene glycol) dimethyl ether, mixture of isomers_Sigma_SDS_revised April 2022 (received April 2025)",Not dangerous goods,n/a,n/a,,"Sigma_520462_Di(propylene glycol) dimethyl ether, mixture of isomers",,,,"Di(propylene glycol) dimethyl ether, mixture of isomers_Sigma_520462_Lot STBK6297_CoA_April 10, 2025",,liquid,colourless,162.23,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,92,propylene glycol diacetate,,623-84-7,Millipore Sigma,528072,BCCM7493,1,1 L,1.05,kg,FC2/glovebox,"received after June 30, 2024","Propylene glycol diacetate, >99.7% (aka DOWANOL PGDA)_Sigma_SDS_revised March 2025",Not dangerous goods,n/a,n/a,4,"Sigma_528072_Propylene glycol diacetate, >99.7% (aka DOWANOL PGDA)",,,,"Propylene glycol diacetate, +99.7%_Sigma_528072_Lot BCCM7493_CoA_April 10, 2025",,liquid,colourless,160.17,1.05,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
410,95,HYDRANAL water standard,water content 0.1 mg/g = 0.01%,,,,,,,,,,,,,,,,,,,,,,liquid,colourless,,1.205,,,,,,1,1,1,,,,,,,,,,,,,,,,,,3,3
110,96,silicon dioxide,Aerosil 300,112945-52-5,EVONIK industries,Aerosil 300,309101300,,100 g,0.1,kg,black storage cabinet + a 300C oven-dried jar,50% or original container + 50 g jar in glovebox,Aerosil 300 (silicone dioxide)_Evonik_SDS_Revised Nov 2022,Not dangerous goods,n/a,n/a,n/a,"Evonik_99002473_Aerosil 300, silicon dioxide, chemcially prepared",,,,,,solid (powder),white,,2.2,,,,,2,2,,,,,,3,,,,,,,,,,,,,,,
17,100,1-heptanol,98%,111-70-6,Millipore Sigma,H2805-250mL,STBK5812,1,250 mL,0.2055,kg,FC2,"received after June 30, 2024",1-heptanol_Sigma_SDS_revised June 2024,Not dangerous goods,n/a,n/a,4,"Sigma_H2805_1-heptanol , 98%",,"Feb 21, 2029",,,,liquid,colourless ,116.2,0.822,,4,,,,,,,,,,,,,,,,,,,,,,,,,
600,108,methoxy polyethylene glycol monomethacrylate,,26915-72-0,ChemSpec Canada/Miwon,Miramer M193,2107245L1,,20 kg,20,kg,black storage cabinet,50%,Miramer M193_Miwon_SDS_Revised Aug 2020,Not dangerous goods,n/a,n/a,,,,,,,,liquid,clear to hazy ,668,1.09,,4,,,,,,,,,,,,,,,,,,,,,,,,,
8,109,1-dimethylamino-2-propanol,99%,108-16-7,ThermoFisher,B24234,10202867,,250 g,0.25,kg,FC 2,65%,1-Dimethylamino-2-propanol_ThermoFisher_SDS_Revised May 2025,UN2734,8 (3),II,3,Thermo_B24234_1-Dimethylamino-2-propanol,,,,,,liquid,colourless,103.16,0.837,,4,3,4,1B,1,,1A,,,,,,,,,,,,,,,,,,,3
12,110,1-dodecanthiol,98%,112-55-0,Sigma Aldrich,471364-100mL,STBK6966,,100 mL,0.0845,kg,glovebox,"recieved after June 30, 2023","1-dodecanthiol, >98%_Sigma_SDS_revised Aug 2024",UN1760,8,III,n/a,"Sigma_471364_1-dodecanthiol, >98%",,,,,,liquid,colourless - yellow,202.4,0.845,,4,4,4,2,1,,1,,,,,,,,,,,,,,,,,,3,3
13,111,1-ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,,174899-82-2,TCI (via Fisher),E0599,TQ3GN-OG,,5 g,0.005,kg,glovebox,10%,1-ethyl-3-methylimidazolium Bis(trufluoromethanesulfonyl)imide_TCI_Revised Apr 2024,Not dangerous goods,n/a,n/a,n/a,TCI_E0599_1-ethyl-3-methylimidazolium Bis(trufluoromethanesulfonyl)imide,,,,,,liquid,colourless-yellow,391.303,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,112,1-ethyl-3-methylimidazolium tetrafluoroborate,,143314-16-3,ThermoFisher,L19763,10187209,,10 g,0.01,kg,FC1,10%,1-ethyl-3-methylimidazolium tetrafluoroborate_ThermoFisher_SDS_Revised Mar 2024,Not dangerous goods,n/a,n/a,n/a,Thermo_L19763_1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,liquid,colourless-yellow,197.98,1.28,,,,,"1 (A,B,C)",,,1,,,,,,,,,,,,,,,,,,,
16,113,1-ethyl-3-methylimidazolium tetrafluoroborate,,143314-16-3,ThermoFisher,L19763,10209864,,50 g,0.05,kg,"glovebox, in vial on sieves",20% of original + vial,1-ethyl-3-methylimidazolium tetrafluoroborate_ThermoFisher_SDS_Revised Mar 2024,Not dangerous goods,n/a,n/a,n/a,Thermo_L19763_1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,liquid,colourless-yellow,197.98,1.28,,,,,2,2A,,1,,,,,,,,,,,,,,,,,,,
19,114,1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,98%,223437-11-4,ThermoFisher,H27177,10228820,,50 g,0.05,kg,"glovebox in vials (2), filtered",90% of 2 vials,"1-n-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl) imide, 98%_Thermo_SDS_Revised March 2024",Not dangerous goods,n/a,n/a,n/a,"Thermo_H27177_1-n-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl) imide, 98%",,,,,,liquid,clear colourless to orange,422.42,1.4,,,,4,2,2A,,1,,,,,,,,4,,,,,,,,,,,
20,115,1-N-butyl-3-methylimidazolium tetrafluoroborate,98%,174501-65-6,ThermoFisher,L19087.09,10223620,,10 g,0.01,kg,glovebox,80%,1-n-butyl-3-methylimidazolium tetrafluoroborate_ThermoFisher_SDS_revised Feb 2020,UN2810,6.1,III,n/a,ThermoFisher_L19087.09_1-n-butyl-3-methylimidazolium tetrafluoroborate,,,,,,liquid,colourless to yellow,226.02,1.21,,4,3,,,,,,,,,,,,,4,,,,,,,,,,,
21,116,1-n-butyl-4-methylpyridinium tetrafluoroborate,99%,343952-33-0,ThermoFisher,H27100.06,10202064,,5 g,0.005,kg,glovebox,40%,"1-n-butyl-4-methylpyridium tetrafluoroborate, 99%_ThermoFisher_SDS_Revised Feb 2020",Not dangerous goods,n/a,n/a,n/a,ThermoFisher_H27100_1-n-butyl-4-methylpyridium tetrafluoroborate,,,,,,liquid (viscous liquid),dark brown,237.06,1.2,,4,4,3,1B,1,,,,,,3,,,,3,,,,,,,,,,,
36,117,"1,4-butanediol diacrylate",90%,1070-70-8,Sigma Aldrich,411744-25mL,MKCK1264,,25 mL,0.026275,kg,glovebox,40%,"1,4-Butanediol Diacrylate, technical grade_Sigma_SDS_revised Aug 2023",UN2922,8 (6.1),II,n/a,"Sigma_411744_1,4-Butanediol Diacrylate tech grade",,,,,,liquid,colourless,198.22,1.051,,4,4,3,1B,1,,,,,,3,,,,3,,,,,,,,,,3,
38,118,10-methylphenothiazine,98%,1207-72-3,ThermoFisher,B21648,10214526,,5 g,0.005,kg,"FC3, on sieves in 100 mL jar",50%,"10-methylphenothiazine, 98%_Thermo_SDS_revised Mar 2024",Not dangerous goods,n/a,n/a,"NFPA Flammability 1, update for GHS","ThermoFisher_B21648_10-methylphenothiazone, 98%",,,,,,solid (powder),light yellow ,213.3,1.1168,,4,,,2,2,,,,,,3,,,,,,,,,,,,,,,
75,119,"2,2-dimethoxy-2-phenylacetophenone",99%,24650-42-8,Sigma Aldrich,196118-50mL,MKCK9999,,50 g,0.05,kg,FC1; monomers and initiators,30%,"2,2-dimethoxy-2-phenylacetophenone, 99%_Sigma_SDS_revised Sept 2022",Not dangerous goods,n/a,n/a,n/a,"Sigma_196118_2,2-dimethoxy-2-phenylacetophenone, 99%",,,,,, solid,colourless,256.3,1.132,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
77,120,"2,2'-azobisisobutyronitrile",,78-67-1,Sigma Aldrich,441090-25G,MKCK6890,,25 g,0.025,kg,Fridge,20%,"2,2'-azobisisobutyronitrile, 98%_Sigma_SDS_revised March 2024",UN3234 (note cannot transport by air),4.1,,n/a,"Sigma_441090_2,2'-azobisisobutyronitrile,98%; α,α′-Azoisobutyronitrile, AIBN, 2,2′-Azobis(2-methylpropionitrile)",,,,,, Solid (crystalline),white,164.21,0.8,,,,,,2A,,,,,,3,,,,3,,,,,,,,,,,
103,121,acetonitrile,"HPLC, gradient",75-05-8,Sigma Aldrich,34851-4L,SHBJ8759,,4 L,3.144,kg,FC 2,10%,Acetonitrile HPLC grade_Sigma_SDS_Revised March 2023,UN1648 ,3,II,2,"Sigma_34851_Acetonitrile, HPLC, gradient grade",,,,,,liquid ,colourless,41.05,0.786,,4,,3,,,,,,,1B,,,,,3,,,,,,,,,,,
104,122,acetonitrile,,75-05-8,,,,,900 mL,0.7074,kg,FC2,90%,Acetonitrile HPLC grade_Sigma_SDS_Revised March 2023,UN1648 ,3,II,2,,,,,,,liquid ,colourless,41.05,0.786,,,,,,,,,,,1B,,,,,,,,,,,,,,,,
105,123,acetronitrile,"anhydrous, 99.8%",75-05-8,Sigma Aldrich,271004-100ML,SHBM0096,,100 mL,0.0786,kg,glovebox,80%,"Acetronitrile, andhydrous, 99.8%_Sigma_SDS_Revised March 2024",UN1648 ,3,II,2,Sigma_271004_Acetronitrile,,,,,,liquid,colourless,41.05,0.786,,,,,,,,,,,1B,,,,,,,,,,,,,,,,
106,124,acetylacetone,,123-54-6,Sigma Aldrich,P7754,,,vial,,,FC2,90%,Acetylacetone_Sigma_SDS_Revised March 2024,UN2310 ,3 (6.1),III,3,"Sigma_P7754_Acetylacetone, >=99%; 2,4-Pentanedione",,,,,,liquid ,colourless,100.12,0.975,,,,,,,,,,,1B,,,,,,,,,,,,,,,,
107,125,acetylacetone,99%,123-54-6,Sigma Aldrich,P7754-500mL,WXBC8977V,,500 mL,0.4875,kg,FC 2,90%,Acetylacetone_Sigma_SDS_Revised March 2024,UN2310 ,3 (6.1),III,3,"Sigma_P7754_Acetylacetone, >=99%; 2,4-Pentanedione",,,,,,liquid,colourless,100.12,0.975,,,,,,,,,,,1B,,,,,,,,,,,,,,,,
119,126,TPU resin pellets,"aliphatic, ESTANE® AG 8451",,Lubrizol,AG-8451 resin,sample (SWM),,2 x 250 g,0.5,kg,black cabinet,"1 consumed, 1 with 5 % remaining",ESTANE AG 8451 TPU (aliphatic polyutherane polymer)_Lubrizol_SDS_Revised June 2018 (checked July 2021),Not dangerous goods,n/a,n/a,n/a,,,,,,,solid (granules),clear,,,,,,4,1C,2A,,,,,1B,2,,,,,,,,,,,,,,3,
127,127,aluminum 2-ethylhexanoate,,30745-55-2,strem,93-1326-100G,30451000,,100g,0.1,kg,FC1; metal 2ethylhexanoates,90%,"Aluminum 2-ethylhexanoate, basic, 96%_Strem_SDS_revised July 2021",Not dangerous goods,n/a,n/a,n/a,Strem_93-1326_aluminum 2-ethylhexanoate,,,,,,solid (powder),white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,128,aluminum di (sec-butoxide) acetoacetic ester chelate,Al 8.4% min,24772-51-8,ThermoFisher,89349.36,Q16G032,,500 g,0.5,kg,FC3,60%,"aluminum di (sec-butoxide) acetoacetic ester chelate, Al 8.4 % min_ThermoFisher_SDS  revised July March 2024",Not dangerous goods,n/a,n/a,4,"ThermoFisher_89349_aluminum di (sec-butoxide) acetoacetic ester chelate, Al 8.4 % min",,,,CoA,,liquid (viscous),colourless,302.3,1.03,,,,,2,,,1B,,,,3,,,,4,,,,,,,,,,2,3
132,129,ammonium metatungstate,reagent ,12028-48-7,GTP,P001500,MT1933,,0.33 lbs,0.15,kg,FC1,80%,"ammonium metatungstate_GTP_SDS_revised March 2016 check June 2021, still latest version",Not dangerous goods,n/a,n/a,n/a,GTP_P001500_ammonium metatungstate,,,,,,solid (crystal),off-white,,,,,,,,2.0000,,,,,,,,,,,,,,,,,,,,,
138,130,Avian-B Coating Pre-mix,Avian-B250,,Avian Technologies LLC,Avian-B250,A401B,,500g,0.5,kg,FC1,100%,Avian -B Coating Premix_Avian Technologies LLC_SDS_revised April 2024,Not dangerous goods,n/a,n/a,n/a,Avian Technologies LLC_Avian-B Coating Premix,,"March 30, 2021",,,,liquid (slurry),white,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,3
140,131,benzoflex,9-88 Plasticizer,,EASTMAN, ? 32601-00,,,3x~100 g,0.3,kg,FC1 + glovebox,75% (2 containers) + glovebox container (80%),Benzoflex 9-88 Plasticizer_Eastman_SDS_revised March 2022,Not dangerous goods,n/a,n/a,n/a,Eastman_32601-00_Benzoflex 9-88 Plasticizer,,,,,,liquid,"colourless, light yellow",,1.12,,,4,4,2,2A,,,,,,,,,,3,,,,,,,,,,,
146,132,BLS 99-2,,,Mayzo (Dempsey),,2110904218,,50 g,0.05,kg,glovebox,100%,BLS 99-2_Mayzo_SDS_revised June 2018_recieved Sept 2022,Not dangerous goods,n/a,n/a,4,,,,,,,liquid,amber to brown,,1.07,,,,,2,2,,,,,,3,,,,,,,,,,,,,,,
